message_id,match_id,champion_name,time,sent_to,message,association_to_offender,kills,deaths,assists,outcome,label,kda
1,4000,Jinx,0:06:16,All,wtf,enemy,18,9,6,Loss,1,2.67
2,4000,Jinx,0:07:29,All,so boring,enemy,18,9,6,Loss,0,2.67
3,4000,Jinx,0:07:30,All,-.-,enemy,18,9,6,Loss,0,2.67
4,4000,Ahri,0:25:48,All,my god,enemy,3,7,13,Loss,0,2.29
5,4000,Ahri,0:25:51,All,penta now,enemy,3,7,13,Loss,0,2.29
6,4000,Annie,0:25:55,All,no,ally,2,7,11,Win,0,1.86
7,4000,Annie,0:25:57,All,noob,ally,2,7,11,Win,1,1.86
8,4000,Annie,0:26:03,All,noob easy,ally,2,7,11,Win,1,1.86
9,4000,Annie,0:26:04,All,!!!!!!!!!!!,ally,2,7,11,Win,0,1.86
10,4000,Jinx,0:26:29,All,u dont say,enemy,18,9,6,Loss,0,2.67
11,4000,Jinx,0:26:31,All,miss silver,enemy,18,9,6,Loss,0,2.67
12,4000,Ahri,0:26:33,All,more flash,enemy,3,7,13,Loss,0,2.29
13,4000,Lucian,0:34:52,All,better adc won,ally,19,9,8,Win,0,3.0
14,4000,Jinx,0:35:22,All,just bought this jinx,enemy,18,9,6,Loss,0,2.67
15,4000,Jinx,0:35:42,All,main mid,enemy,18,9,6,Loss,0,2.67
16,4000,Jinx,0:35:52,All,asshole im bronze V,enemy,18,9,6,Loss,1,2.67
17,4000,Annie,0:36:22,All,asshole im stupidr mum VI,ally,2,7,11,Win,1,1.86
18,4000,Annie,0:36:25,All,YO,ally,2,7,11,Win,0,1.86
19,4000,Annie,0:36:27,All,main troll,ally,2,7,11,Win,0,1.86
20,4000,Jinx,0:39:19,All,fuck stupid wp,enemy,18,9,6,Loss,1,2.67
21,4000,Annie,0:39:21,All,Easy,ally,2,7,11,Win,0,1.86
22,4000,Jinx,0:39:31,All,like u did much annie,enemy,18,9,6,Loss,0,2.67
23,4000,Jinx,0:39:35,All,why so mad dude?,enemy,18,9,6,Loss,0,2.67
24,4000,Annie,0:40:01,All,i am so cool yaw,ally,2,7,11,Win,0,1.86
25,4000,Orianna,0:40:06,All,easy,offender,6,8,17,Win,0,2.88
26,4001,Tristana,0:00:34,Team1,lvl 22 with gold !! np matchmaking,enemy,10,11,3,Loss,0,1.18
27,4001,Nidalee,0:01:39,Team2,wtf,ally,7,7,7,Loss,0,2.0
28,4001,Nidalee,0:01:42,Team2,that fuck tho,ally,7,7,7,Loss,1,2.0
29,4001,Lucian,0:01:56,All,baited,offender,4,12,10,Win,0,1.17
30,4001,Nidalee,0:05:20,Team2,cmon elise,ally,7,7,7,Loss,0,2.0
31,4001,Tristana,0:06:54,Team1,sejuani better if u help shit -_- push mid not worth -_-,enemy,10,11,3,Loss,1,1.18
32,4001,Tristana,0:08:49,Team1,blue ?,enemy,10,11,3,Loss,0,1.18
33,4001,Nidalee,0:12:35,Team2,elise?,ally,7,7,7,Loss,0,2.0
34,4001,Nidalee,0:14:44,Team2,"cmon, nobb should just back after the first turr",ally,7,7,7,Loss,1,2.0
35,4001,Lucian,0:14:48,Team2,stfu,offender,4,12,10,Win,0,1.17
36,4001,Lucian,0:14:50,Team2,:),offender,4,12,10,Win,0,1.17
37,4001,Nidalee,0:14:51,Team2,lol,ally,7,7,7,Loss,0,2.0
38,4001,Nidalee,0:14:55,Team2,u fuck,ally,7,7,7,Loss,1,2.0
39,4001,Lucian,0:14:58,Team2,u should just come with us asshole make one hit,offender,4,12,10,Win,1,1.17
40,4001,Warwick,0:16:36,Team1,nida spectator time ^^,enemy,4,8,10,Loss,0,1.75
41,4001,Nidalee,0:17:00,Team2,that waste of barrier tho,ally,7,7,7,Loss,0,2.0
42,4001,Lucian,0:17:11,Team2,cry me a river,offender,4,12,10,Win,0,1.17
43,4001,Elise,0:18:36,Team2,nidalee u blind fuck,ally,19,5,10,Win,1,5.8
44,4001,Tristana,0:19:10,Team1,oom -_-,enemy,10,11,3,Loss,0,1.18
45,4001,Lucian,0:23:40,Team2,try that again,offender,4,12,10,Win,0,1.17
46,4001,Nidalee,0:23:40,Team2,bye,ally,7,7,7,Loss,0,2.0
47,4001,Elise,0:34:53,All,fuck noob wp,ally,19,5,10,Win,1,5.8
48,4001,Sejuani,0:34:55,All,bad game.,enemy,11,2,9,Loss,0,10.0
49,4001,Nidalee,0:35:29,All,fuck noob,ally,7,7,7,Loss,1,2.0
50,4002,Yasuo,0:00:41,All,GL HF asshole REPORT GP PLEASE ( TROLLPICK),enemy,26,5,15,Win,1,8.2
51,4002,Yasuo,0:00:45,All,thanks,enemy,26,5,15,Win,0,8.2
52,4002,Ezreal,0:00:49,All,xD u2,ally,9,7,5,Loss,0,2.0
53,4002,Gangplank,0:01:01,All,i said first,enemy,17,7,14,Win,0,4.43
54,4002,Ezreal,0:01:07,Team2,they invade maybe !,ally,9,7,5,Loss,0,2.0
55,4002,Yasuo,0:01:11,All,u didnt say first,enemy,26,5,15,Win,0,8.2
56,4002,Ezreal,0:01:11,Team2,be carefull !,ally,9,7,5,Loss,0,2.0
57,4002,Gangplank,0:01:12,All,i swear,enemy,17,7,14,Win,0,4.43
58,4002,Ezreal,0:01:17,All,:P,ally,9,7,5,Loss,0,2.0
59,4002,Karma,0:01:19,Team2,i'll go mid,ally,1,8,11,Loss,0,1.5
60,4002,Teemo,0:01:19,Team1,buy net,enemy,6,3,9,Win,0,5.0
61,4002,Gangplank,0:01:22,All,yes right,enemy,17,7,14,Win,0,4.43
62,4002,Teemo,0:01:26,Team1,u,enemy,6,3,9,Win,0,5.0
63,4002,Karma,0:01:28,Team2,till heimer reconect,ally,1,8,11,Loss,0,1.5
64,4002,Ezreal,0:01:35,Team2,heimi :§ ?,ally,9,7,5,Loss,0,2.0
65,4002,Karma,0:01:39,Team2,i'm with him in skype,ally,1,8,11,Loss,0,1.5
66,4002,Yasuo,0:01:40,Team1,gp,enemy,26,5,15,Win,0,8.2
67,4002,Yasuo,0:01:41,Team1,nooob,enemy,26,5,15,Win,1,8.2
68,4002,Gangplank,0:01:42,All,under tour,enemy,17,7,14,Win,0,4.43
69,4002,Teemo,0:01:43,Team1,...,enemy,6,3,9,Win,0,5.0
70,4002,Teemo,0:01:46,Team1,play,enemy,6,3,9,Win,0,5.0
